x,y,z,elevation,aspect,slope,twi
-97.875,36.875,0.27849108,343,3.236219168,0.0031698,13.19575119
-97.625,36.875,0.285927862,356,2.693670511,0.003039579,12.2722168
-97.375,36.875,0.275451154,332,2.205659389,0.005567813,11.75138283
-97.125,36.875,0.291268706,340,1.993563175,0.007107343,12.14039612
-96.875,36.875,0.329497248,345,3.22244668,0.004681015,11.97862339
-96.625,36.875,0.346533984,370,2.906449556,0.008129118,11.40368938
-96.375,36.875,0.344043702,304,0.626038253,0.01350673,12.28523636
-96.125,36.875,0.281279415,252,2.049544811,0.008187847,11.47790527
-95.875,36.875,0.333254278,257,4.92280674,0.011076692,10.71959209
-95.625,36.875,0.337534904,220,0.75291574,0.005388316,12.63168049
-95.375,36.875,0.343858153,244,4.424529552,0.002873971,12.16461754
-95.125,36.875,0.33583051,250,4.29796648,0.004203197,12.78968334
-94.875,36.875,0.322706252,240,2.498761892,0.003188267,11.96034145
-94.625,36.875,0.307502776,300,4.0468297,0.009122604,14.4422121
-94.375,36.875,0.34854722,319,1.853403091,0.013935344,14.77003288
-94.125,36.875,0.347143799,372,0.349438936,0.008442295,12.3021965
-101.375,36.625,0.187090546,928,2.62420845,0.006580479,13.48623848
-101.125,36.625,0.176940709,858,0.412326276,0.008093925,13.11066341
-100.875,36.625,0.201450303,851,5.217883587,0.01112561,11.2219162
-100.625,36.625,0.233337417,851,4.716400146,0.01003087,11.24268627
-100.375,36.625,0.230480254,794,5.812412262,0.011095352,13.40302753
-100.125,36.625,0.19779852,726,5.804471016,0.012187768,11.55726814
-99.875,36.625,0.196056664,680,1.160538673,0.008076315,11.82431126
-99.625,36.625,0.197103739,643,3.471601963,0.009970769,11.6060791
-99.375,36.625,0.204691559,587,0.609772444,0.012609342,13.40644741
-99.125,36.625,0.266884714,524,1.995743752,0.005389288,12.54918861
-98.875,36.625,0.149119467,467,2.199759245,0.008050022,12.63417244
-98.625,36.625,0.141894802,427,2.150394201,0.002778803,14.80919075
-98.375,36.625,0.25108999,389,4.816504002,0.007512873,11.22943783
-98.125,36.625,0.242632106,379,5.597224236,0.007288213,12.46591282
-97.875,36.625,0.259650975,335,3.449703693,0.002930522,13.5243845
-97.625,36.625,0.272706032,321,3.169444323,0.006037975,11.44279289
-97.375,36.625,0.277600139,310,0.752566099,0.006771774,11.88573647
-97.125,36.625,0.286052585,283,1.893097758,0.002930541,21.00688744
-96.875,36.625,0.304217368,311,4.36299181,0.008477856,11.47408772
-96.625,36.625,0.311593682,330,4.278647423,0.013900034,11.35115719
-96.375,36.625,0.271159381,281,4.475391865,0.014737638,12.34468842
-96.125,36.625,0.275119543,294,4.58424139,0.008575903,11.06300449
-95.875,36.625,0.332853049,195,1.59872067,0.003266844,18.97037315
-95.625,36.625,0.338036984,217,5.299076557,0.003439738,12.80856133
-95.375,36.625,0.340813428,244,2.815620899,0.008301456,13.27288628
-95.125,36.625,0.339115202,214,2.688973665,1.16E-05,16.37708282
-94.875,36.625,0.325003594,233,5.174798965,0.005898367,13.47273636
-94.625,36.625,0.31041044,246,3.188311338,0.014905286,15.74729347
-94.375,36.625,0.305735916,335,2.453773737,0.02020273,10.94918728
-94.125,36.625,0.319252998,342,4.856228352,0.021398034,14.67446136
-101.375,36.375,0.192198724,960,1.522128224,0.003365218,14.40861034
-101.125,36.375,0.171580613,906,5.575648308,0.017970262,11.59725857
-100.875,36.375,0.230441004,904,1.413179636,0.002167203,14.79964828
-100.625,36.375,0.234994486,877,1.150999784,0.00203864,12.56624699
-100.375,36.375,0.226640269,809,5.080947399,0.01115491,13.75669384
-100.125,36.375,0.216666222,759,3.478869915,0.006527219,12.24923992
-99.875,36.375,0.185752332,722,1.01714325,0.011376094,12.83419514
-99.625,36.375,0.182500631,638,6.027819157,0.007118595,15.55528736
-99.375,36.375,0.185318291,635,1.059801102,0.00747323,11.40495777
-99.125,36.375,0.133820638,586,4.552164555,0.006166693,11.89579487
-98.875,36.375,0.268400878,507,1.756095052,0.011968573,11.68390083
-98.625,36.375,0.159064472,399,0.55459857,0.004598538,13.93283653
-98.375,36.375,0.159307972,402,3.91422224,0.003140585,13.46979713
-98.125,36.375,0.238162994,398,3.481458664,0.005106669,11.44639301
-97.875,36.375,0.253804386,378,3.007042646,0.003106083,15.70186329
-97.625,36.375,0.262422353,337,0.743755877,0.002112441,17.67704964
-97.375,36.375,0.280870825,324,5.08856535,0.006197249,11.55373096
